Target,Source
CREBBP,TCF7 
CREBBP,TCF7L1 
CREBBP,TCF7L2 
CREBBP,TP53 
CREBBP,MITF 
CREBBP,CDKN2B 
CREBBP,ATF4 
CREBBP,CAMK4 
CREBBP,CREB1 
CREBBP,CREB3 
CREM,ICAM1 
CRY1,CRY2 
CRY1,NPAS2 
CRY1,PER2 
CRY1,CRY1 
CRY1,CLOCK 
CRY1,CSNK1D 
CRY1,PER3 
CRY1,CSNK1E 
CRY1,ARNTL 
CTBP1,RBPJ 
CTBP1,RBPJL 
CTBP1,TCF7 
CTBP1,TCF7L1 
CTBP1,TCF7L2 
CTBP1,MECOM 
CTBP1,LEF1 
CTNNB1,TCF7L1 
CTNNB1,TCF7L2 
CTNNB1,TJP1 
CTNNB1,EGFR 
CTNNB1,CTNNBIP1 
CTNNB1,CTNNB1 
CTNNB1,CTNNA3 
CTNNB1,CTNNA2 
CTNNB1,CTNNA1 
CTNNB1,CCND3 
CTNNB1,CCND2 
CTNNB1,CCND1 
CTNNB1,CSNK2B 
CTNNB1,CSNK2A2 
CTNNB1,CSNK2A1 
CTNNB1,CSNK1A1 
CTNNB1,FER 
CTNNB1,CHD8 
CTNNB1,CDH5 
CTNNB1,CDH1 
CTNNB1,BTRC 
CTNNB1,CREBBP 
CTNNB1,FYN 
CTNNB1,GSK3B 
CTNNB1,IGF1R 
CTNNB1,IQGAP1 
CTNNB1,LEF1 
CTNNB1,MET 
CTNNB1,PECAM1 
CTNNB1,PRKACA 
CTNNB1,PRKACB 
CTNNB1,PRKACG 
CTNNB1,PRKX 
CTNNB1,PSEN1 
CTNNB1,PTPN1 
CTNNB1,PTPRB 
CTNNB1,PTPRF 
CTNNB1,PTPRM 
CTNNB1,RUVBL1 
CTNNB1,SRC 
CTNNB1,TBL1X 
CTNNB1,TBL1XR1 
CTNNB1,TBL1Y 
CTNNB1,TCF7 
CTNNB1,AXIN1 
CTNNB1,APC2 
CTNNB1,APC 
CTNNB1,ACP1 
CTNNB1,EP300 
CTNNB1,ERBB2 
CTNNB1,FBXW11 
CTNNBIP1,CTNNB1 
DAXX,FAS 
DAXX,TGFBR1 
DAXX,MAP3K5 
DAXX,TNFRSF1B 
DAXX,TNFRSF1A 
DAXX,TGFBR2 
DDIT3,BCL2 
DDIT3,XBP1 
DDIT3,MAPK11 
DDIT3,MAPK12 
DDIT3,MAPK13 
DDIT3,MAPK14 
DDIT3,ATF4 
DDIT3,ATF6 
DDIT3,ATF6B 
DDIT3,NFE2L2 
E2F1,CCDC93 
E2F1,ACSL1 
E2F1,ACSM5 
